user_id,amount_to_pay_next_payment,maximum_credit_amount,current_balance,credit_limit,past_due_balance,number_of_payments_due,worst_delinquency,worst_delinquency_past_due_balance,institution_cat,account_type_cat,credit_type_cat,payment_frequency_cat
4,0.0,90096.0,0.0,103001.0,18486.0,0.0,0.0,0.0,30.0,36.0,150.0,24.0
6,21688.0,950541.0,211347.0,286225.0,15499.0,0.0,0.0,0.0,231.0,94.0,295.0,64.0
12,138.0,76134.0,1328.0,72487.0,0.0,7.0,1.0,110.0,273.0,48.0,156.0,33.0
27,14776.0,1176269.0,225038.0,561846.0,0.0,0.0,2.0,1298.0,706.0,234.0,684.0,154.0
29,173.0,6308.0,3609.0,25002.0,0.0,0.0,0.0,0.0,59.0,18.0,75.0,12.0
31,0.0,473084.0,75579.0,495776.0,0.0,64.0,3.0,10721.0,365.0,95.0,310.0,76.0
37,7736.0,424589.0,399934.0,449559.0,16680.0,0.0,1.0,576.0,122.0,54.0,171.0,36.0
43,2281.0,432771.0,37548.0,504164.0,384.0,7.0,1.0,924.0,225.0,86.0,292.0,64.0
47,145857.0,518516.0,455556.0,414615.0,245205.0,0.0,0.0,0.0,277.0,110.0,266.0,74.0
48,27496.0,1074522.0,332143.0,485838.0,110485.0,125.0,0.0,0.0,848.0,187.0,724.0,162.0
49,2753.0,52950.0,52950.0,54050.0,0.0,0.0,0.0,0.0,40.0,6.0,9.0,4.0
51,6852.0,129669.0,148868.0,242500.0,0.0,0.0,0.0,0.0,91.0,32.0,92.0,20.0
54,7256.0,188927.0,205566.0,161744.0,0.0,1.0,1.0,400.0,139.0,63.0,149.0,54.0
64,12029.0,439871.0,402449.0,113451.0,0.0,0.0,0.0,0.0,106.0,54.0,182.0,38.0
72,26621.0,939032.0,522247.0,225097.0,630.0,0.0,0.0,0.0,136.0,61.0,244.0,60.0
81,33130.0,4744729.0,1564633.0,4468261.0,0.0,4.0,0.0,0.0,344.0,268.0,1017.0,188.0
87,24738.0,1122710.0,137566.0,520790.0,43343.0,34.0,6.0,10564.0,9593.0,1078.0,4940.0,1850.0
89,32333.0,1271858.0,768535.0,614175.0,0.0,1.0,1.0,1372.0,204.0,93.0,258.0,68.0
90,16629.0,451950.0,238732.0,173233.0,311.0,3.0,3.0,4682.0,577.0,82.0,200.0,74.0
94,193.0,237462.0,193.0,176501.0,0.0,0.0,0.0,0.0,73.0,47.0,172.0,32.0
103,21361.0,6445811.0,822503.0,5072150.0,75227.0,48.0,9.0,8155.0,922.0,417.0,1682.0,366.0
108,0.0,13261.0,0.0,9497.0,0.0,0.0,0.0,0.0,140.0,48.0,100.0,28.0
109,1159.0,23982.0,23903.0,49000.0,0.0,21.0,0.0,0.0,75.0,27.0,67.0,16.0
112,13421.0,674482.0,249525.0,156313.0,0.0,1.0,2.0,1911.0,483.0,107.0,354.0,100.0
123,25920.0,74877.0,23843.0,38650.0,26988.0,0.0,0.0,0.0,192.0,91.0,247.0,56.0
139,5539.0,158164.0,59741.0,171001.0,39849.0,0.0,0.0,0.0,148.0,70.0,246.0,50.0
141,235636.0,1028068.0,455859.0,601505.0,211045.0,0.0,0.0,0.0,403.0,140.0,429.0,88.0
145,100632.0,40658.0,104858.0,31701.0,93537.0,0.0,1.0,1943.0,159.0,56.0,199.0,42.0
149,3400.0,334117.0,11851.0,323377.0,33505.0,11.0,4.0,1140.0,585.0,91.0,140.0,77.0
160,14091.0,313081.0,237256.0,86640.0,0.0,6.0,1.0,3526.0,89.0,31.0,123.0,30.0
172,8970.0,91911.0,313693.0,86100.0,0.0,1.0,0.0,0.0,104.0,37.0,152.0,28.0
173,8653.0,233852.0,116454.0,148947.0,0.0,26.0,1.0,3761.0,116.0,53.0,166.0,41.0
178,14380.0,395927.0,334233.0,7001.0,0.0,0.0,0.0,0.0,119.0,44.0,121.0,34.0
179,0.0,1388.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,38.0,14.0
182,39238.0,1997554.0,1151965.0,746700.0,5281.0,0.0,0.0,0.0,320.0,114.0,388.0,84.0
183,41684.0,1175901.0,571920.0,446105.0,53566.0,58.0,0.0,0.0,327.0,154.0,573.0,120.0
188,630.0,17721.0,630.0,0.0,0.0,0.0,0.0,0.0,138.0,25.0,61.0,16.0
189,12179.0,39044.0,24349.0,45172.0,11192.0,0.0,0.0,0.0,147.0,31.0,116.0,20.0
192,1290.0,201871.0,184109.0,190143.0,0.0,0.0,0.0,0.0,130.0,39.0,110.0,24.0
195,6831.0,348946.0,210367.0,361536.0,0.0,0.0,0.0,0.0,250.0,70.0,249.0,58.0
200,732.0,20252.0,9454.0,12100.0,16.0,5.0,8.0,5091.0,262.0,34.0,162.0,62.0
212,813.0,114032.0,2814.0,43200.0,17066.0,13.0,0.0,0.0,144.0,50.0,191.0,38.0
215,1573.0,31500.0,13775.0,13700.0,0.0,0.0,0.0,0.0,169.0,14.0,139.0,43.0
218,5706.0,437928.0,227860.0,409099.0,42520.0,40.0,0.0,0.0,425.0,91.0,287.0,64.0
232,9855.0,279431.0,112911.0,177151.0,0.0,0.0,1.0,4655.0,168.0,36.0,171.0,42.0
236,17121.0,394884.0,467201.0,615945.0,0.0,2.0,0.0,0.0,123.0,29.0,83.0,20.0
250,5873.0,385804.0,86542.0,350944.0,0.0,0.0,0.0,0.0,102.0,57.0,178.0,40.0
260,635.0,106889.0,505561.0,121279.0,0.0,0.0,0.0,0.0,227.0,26.0,34.0,24.0
266,1006.0,164255.0,27238.0,130840.0,0.0,1.0,1.0,35.0,108.0,37.0,108.0,24.0
275,62.0,6792.0,1616.0,10000.0,0.0,0.0,0.0,0.0,10.0,12.0,50.0,8.0
296,22150.0,1655028.0,414188.0,1580523.0,3022.0,6.0,9.0,1699.0,199.0,81.0,319.0,74.0
305,213338.0,18221902.0,6202076.0,13840843.0,75967.0,204.0,1.0,6159.0,682.0,407.0,874.0,352.0
