,user_id,institution,account_type,credit_type,total_credit_payments,payment_frequency,amount_to_pay_next_payment,account_opening_date,account_closing_date,maximum_credit_amount,current_balance,credit_limit,past_due_balance,number_of_payments_due,worst_delinquency,worst_delinquency_date,worst_delinquency_past_due_balance
0,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Linea de Credito,78.0,Semanal,0.0,2014-11-10,2015-12-05,9826.0,0.0,0.0,0.0,0.0,0.0,,0.0
1,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Prestamo Personal ,80.0,Semanal,0.0,2015-12-05,2016-10-14,16000.0,0.0,0.0,0.0,3.0,1.0,2016-05-28,200.0
2,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Linea de Credito,102.0,Semanal,100.0,2016-09-02,,10205.0,3505.0,0.0,0.0,3.0,1.0,2017-03-03,100.0
3,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Prestamo Personal ,120.0,Semanal,191.0,2016-10-14,,22920.0,11269.0,0.0,0.0,3.0,1.0,2017-03-03,191.0
4,0,KONFIO,Pagos Fijos,Prestamo Personal ,12.0,Quincenal,0.0,2016-12-27,2017-06-27,150000.0,0.0,0.0,0.0,0.0,0.0,,0.0
5,0,KONFIO,Pagos Fijos,Prestamo Personal ,26.0,Quincenal,10825.0,2017-06-28,,225000.0,159142.0,0.0,0.0,0.0,0.0,,0.0
6,0,TELEFONIA CELULAR,Revolvente,Linea de Credito,1000.0,Mensual,0.0,2016-10-06,2017-09-15,0.0,0.0,999.0,0.0,7.0,4.0,2017-05-31,4342.0
7,0,MERCANCIA PARA HOGAR Y OFICINA,Sin Limite Preestablecido,Credito Personal al Consumo,0.0,Semanal,0.0,2014-11-10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
8,0,AUTOMOTRIZ,Pagos Fijos,Compra de Automovil,72.0,Mensual,5874.0,2017-08-22,,513069.0,475245.0,513069.0,0.0,0.0,0.0,,0.0
9,0,AUTOMOTRIZ,Pagos Fijos,Compra de Automovil,24.0,Mensual,10557.0,2017-01-31,,247705.0,124316.0,247705.0,0.0,0.0,0.0,,0.0
10,0,BANCO,Revolvente,Tarjeta de Credito,0.0,Mensual,1642.0,2017-04-24,,46307.0,40050.0,43500.0,0.0,0.0,0.0,,0.0
11,0,FINANCIERA,Pagos Fijos,Compra de Automovil,24.0,Mensual,3069.0,2017-11-08,,57959.0,57959.0,0.0,0.0,0.0,0.0,,0.0
12,0,BANCO,Revolvente,Tarjeta de Credito,0.0,Mensual,304.0,2016-10-24,,10000.0,6784.0,10000.0,0.0,0.0,0.0,,0.0
13,0,COMUNICACIONES,Sin Limite Preestablecido,Linea de Credito,1.0,Mensual,0.0,2016-09-02,,3068.0,0.0,0.0,0.0,0.0,0.0,,0.0
14,0,TIENDA COMERCIAL,Revolvente,Linea de Credito,0.0,Mensual,1369.0,2016-09-25,,6997.0,4206.0,10000.0,0.0,0.0,0.0,,0.0
15,0,MICROFINANCIERA,Pagos Fijos,Prestamo Personal ,12.0,Mensual,0.0,2015-06-03,2015-10-27,25000.0,0.0,0.0,0.0,0.0,0.0,,0.0
16,1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Prestamo Personal ,53.0,Semanal,0.0,2004-07-11,,10400.0,0.0,0.0,0.0,0.0,0.0,,0.0
17,1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Prestamo Personal ,78.0,Semanal,0.0,2009-09-15,,20670.0,0.0,0.0,0.0,0.0,10.0,2011-03-01,2953.0
18,1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Prestamo Personal ,78.0,Semanal,0.0,2012-05-25,,34710.0,0.0,0.0,0.0,43.0,13.0,2013-05-03,5785.0
19,1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Prestamo Personal ,78.0,Semanal,0.0,2013-05-04,,21982.0,0.0,0.0,0.0,90.0,73.0,2014-11-08,20414.0
20,1,ADMINISTRADORAS DE CARTERA,Revolvente,Tarjeta de Credito,0.0,Mensual,0.0,2015-01-01,,12036.0,0.0,12036.0,0.0,10.0,13.0,2015-02-28,12036.0
