,user_id,total_credit_payments,amount_to_pay_next_payment,maximum_credit_amount,current_balance,credit_limit,past_due_balance,number_of_payments_due,worst_delinquency,worst_delinquency_past_due_balance
0,0,78.0,0.0,9826.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,80.0,0.0,16000.0,0.0,0.0,0.0,3.0,1.0,200.0
2,0,102.0,100.0,10205.0,3505.0,0.0,0.0,3.0,1.0,100.0
3,0,120.0,191.0,22920.0,11269.0,0.0,0.0,3.0,1.0,191.0
4,0,12.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,26.0,10825.0,225000.0,159142.0,0.0,0.0,0.0,0.0,0.0
6,0,1000.0,0.0,0.0,0.0,999.0,0.0,7.0,4.0,4342.0
7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,72.0,5874.0,513069.0,475245.0,513069.0,0.0,0.0,0.0,0.0
9,0,24.0,10557.0,247705.0,124316.0,247705.0,0.0,0.0,0.0,0.0
10,0,0.0,1642.0,46307.0,40050.0,43500.0,0.0,0.0,0.0,0.0
11,0,24.0,3069.0,57959.0,57959.0,0.0,0.0,0.0,0.0,0.0
12,0,0.0,304.0,10000.0,6784.0,10000.0,0.0,0.0,0.0,0.0
13,0,1.0,0.0,3068.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,0.0,1369.0,6997.0,4206.0,10000.0,0.0,0.0,0.0,0.0
15,0,12.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1,53.0,0.0,10400.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1,78.0,0.0,20670.0,0.0,0.0,0.0,0.0,10.0,2953.0
18,1,78.0,0.0,34710.0,0.0,0.0,0.0,43.0,13.0,5785.0
19,1,78.0,0.0,21982.0,0.0,0.0,0.0,90.0,73.0,20414.0
20,1,0.0,0.0,12036.0,0.0,12036.0,0.0,10.0,13.0,12036.0
21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1196.0
22,1,1.0,0.0,731.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1,360.0,4927.0,247552.0,638283.0,247552.0,146083.0,0.0,0.0,0.0
24,2,80.0,400.0,16000.0,13400.0,0.0,200.0,10.0,2.0,408.0
25,2,80.0,60.0,2400.0,2010.0,0.0,30.0,10.0,2.0,61.0
26,2,0.0,0.0,3418.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2,0.0,0.0,1476.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2,0.0,855.0,3418.0,3418.0,0.0,0.0,0.0,0.0,0.0
29,2,0.0,369.0,1476.0,1476.0,0.0,0.0,0.0,0.0,0.0
30,2,1.0,0.0,1475.0,0.0,1475.0,0.0,0.0,0.0,0.0
31,2,1.0,0.0,876.0,0.0,876.0,0.0,0.0,0.0,0.0
32,3,72.0,366.0,25135.0,15290.0,25000.0,0.0,0.0,0.0,0.0
33,3,0.0,14350.0,20650.0,14350.0,14350.0,14350.0,0.0,0.0,0.0
34,4,0.0,0.0,16469.0,0.0,0.0,6852.0,0.0,0.0,0.0
35,4,0.0,0.0,8725.0,0.0,12500.0,0.0,0.0,0.0,0.0
36,4,0.0,0.0,37543.0,0.0,30000.0,11634.0,0.0,0.0,0.0
37,4,0.0,0.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0
38,4,0.0,0.0,8084.0,0.0,12500.0,0.0,0.0,0.0,0.0
39,4,0.0,0.0,19275.0,0.0,1.0,0.0,0.0,0.0,0.0
40,5,26.0,0.0,4598.0,0.0,0.0,0.0,0.0,0.0,0.0
41,5,52.0,0.0,6143.0,0.0,0.0,0.0,0.0,0.0,0.0
42,5,52.0,0.0,3648.0,0.0,0.0,0.0,5.0,1.0,70.0
43,5,52.0,895.0,4317.0,895.0,0.0,895.0,96.0,11.0,1790.0
44,5,100.0,8263.0,13400.0,8263.0,0.0,8263.0,96.0,84.0,8263.0
45,5,50.0,0.0,1300.0,0.0,1300.0,0.0,0.0,10.0,1216.0
46,5,0.0,698.0,698.0,698.0,1000.0,698.0,15.0,6.0,698.0
47,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,5,360.0,1805.0,141384.0,224370.0,141384.0,3743.0,0.0,0.0,0.0
49,5,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,1.0,0.0,7390.0,0.0,7390.0,0.0,0.0,0.0,0.0
51,5,1.0,0.0,2463.0,0.0,2463.0,0.0,0.0,0.0,0.0
52,5,0.0,0.0,12453.0,0.0,12.0,10284.0,0.0,0.0,0.0
53,5,36.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0
54,5,7.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0
55,5,6.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
56,5,6.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
57,6,0.0,0.0,784.0,0.0,1197.0,0.0,0.0,0.0,0.0
58,6,0.0,0.0,19544.0,5366.0,0.0,0.0,0.0,0.0,0.0
59,6,0.0,0.0,47497.0,37429.0,39000.0,0.0,0.0,0.0,0.0
60,6,0.0,0.0,19420.0,10217.0,18300.0,0.0,0.0,0.0,0.0
61,6,0.0,2157.0,33695.0,32809.0,31000.0,0.0,0.0,0.0,0.0
62,6,0.0,199.0,2769.0,0.0,10000.0,0.0,0.0,0.0,0.0
63,6,0.0,1960.0,25000.0,24661.0,25000.0,0.0,0.0,0.0,0.0
64,6,48.0,298.0,9651.0,299.0,0.0,298.0,0.0,0.0,0.0
65,6,48.0,17074.0,628448.0,15202.0,0.0,15201.0,0.0,0.0,0.0
66,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,6,0.0,0.0,69584.0,73986.0,72000.0,0.0,0.0,0.0,0.0
68,6,0.0,0.0,12593.0,11378.0,12000.0,0.0,0.0,0.0,0.0
69,6,24.0,0.0,40928.0,0.0,40928.0,0.0,0.0,0.0,0.0
70,6,0.0,0.0,13493.0,0.0,10000.0,0.0,0.0,0.0,0.0
71,6,0.0,0.0,10831.0,0.0,12800.0,0.0,0.0,0.0,0.0
72,6,0.0,0.0,16304.0,0.0,14000.0,0.0,0.0,0.0,0.0
73,7,52.0,394.0,20488.0,6304.0,0.0,0.0,15.0,8.0,3165.0
74,7,52.0,0.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0
75,7,48.0,220130.0,310921.0,220130.0,0.0,220130.0,0.0,0.0,0.0
76,7,60.0,666.0,17000.0,15244.0,0.0,0.0,0.0,0.0,0.0
77,7,0.0,507.0,964.0,507.0,1497.0,0.0,0.0,0.0,0.0
78,7,0.0,400.0,450.0,400.0,0.0,0.0,0.0,0.0,0.0
79,7,0.0,5008.0,54823.0,54037.0,52600.0,0.0,0.0,0.0,0.0
80,7,36.0,6163.0,215705.0,160678.0,215705.0,18929.0,0.0,0.0,0.0
81,7,60.0,899.0,30000.0,25995.0,30000.0,0.0,0.0,0.0,0.0
82,7,48.0,4747.0,172413.0,170763.0,0.0,24136.0,0.0,0.0,0.0
83,7,0.0,0.0,2570.0,0.0,2000.0,0.0,0.0,0.0,0.0
84,8,12.0,977.0,977.0,977.0,7203.0,977.0,5.0,13.0,977.0
85,8,12.0,1814.0,1814.0,1814.0,7203.0,1814.0,7.0,13.0,1814.0
86,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1217.0
87,8,0.0,5827.0,5827.0,5827.0,0.0,5827.0,14.0,13.0,5827.0
88,8,4.0,1186.0,2116.0,3707.0,0.0,3707.0,0.0,0.0,0.0
89,9,65.0,0.0,8775.0,0.0,0.0,0.0,0.0,0.0,0.0
90,9,12.0,8216.0,8216.0,8216.0,15906.0,8216.0,15.0,0.0,0.0
91,9,12.0,1575.0,1575.0,1575.0,15906.0,1575.0,15.0,0.0,0.0
92,9,18.0,18997.0,18997.0,18997.0,15906.0,18997.0,21.0,0.0,0.0
93,9,12.0,0.0,8800.0,0.0,8800.0,12473.0,14.0,6.0,12473.0
94,9,18.0,10864.0,10864.0,10864.0,15906.0,10864.0,22.0,0.0,0.0
95,9,0.0,12221.0,12221.0,12221.0,15906.0,12221.0,15.0,0.0,0.0
96,9,0.0,0.0,10087.0,0.0,10100.0,0.0,4.0,4.0,4755.0
97,9,0.0,0.0,13101.0,0.0,13101.0,7070.0,8.0,6.0,7070.0
98,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1809.0
99,10,1.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,2523.0
